date,india_close,us_close,usdinr,fair_value,premium
2023-02-15,1597.1,19.23,82.78,19.293307562213094,-0.0032813223968441996
2023-02-16,1601.8,19.12,82.74,19.359439207154942,-0.012368085903358583
2023-02-17,1583.8,19.08,82.73,19.14420403722954,-0.003353706276044921
2023-02-21,1579.5,18.79,82.85,19.064574532287267,-0.014402342513453736
2023-02-22,1561.8,18.62,82.78,18.866876057018604,-0.013085158150851539
2023-02-23,1550.7,18.7,82.59,18.77588085724664,-0.00404140065776748
2023-02-24,1550.7,18.33,82.97,18.68988791129324,-0.019255755465273916
2023-02-27,1509.3,18.16,82.69,18.252509372354577,-0.0050683098124958414
2023-02-28,1487.6,17.94,82.57,18.01622865447499,-0.0042311105135788285
2023-03-01,1496.1,18.02,82.43,18.149945408225157,-0.007159548158545359
2023-03-02,1472.2,18.09,82.41,17.86433685232375,0.012632047276185165
2023-03-03,1479.3,18.18,81.98,18.04464503537448,0.007501115392415381
2023-03-06,1507.5,18.26,81.77,18.43585667115079,-0.009538839137645194
2023-03-08,1492.7,18.16,81.86,18.234791106767652,-0.004101560929858583
2023-03-09,1480.4,17.72,82.02,18.049256278956353,-0.0182420967306135
2023-03-10,1471.6,17.68,81.93,17.96167460026852,-0.01568197879858646
2023-03-13,1435.1,17.27,82.19,17.460761649835746,-0.010925162009616018
2023-03-14,1420.0,17.33,82.25,17.264437689969604,0.0037975352112675775
2023-03-15,1419.7,16.93,82.84,17.13785610816031,-0.01212847784743265
2023-03-16,1404.1,17.19,82.63,16.99261769333172,0.01161576810768472
2023-03-17,1420.7,16.89,82.56,17.208091085271317,-0.01848497219680434
2023-03-20,1403.7,16.93,82.55,17.004239854633557,-0.004365961387761019
2023-03-21,1390.7,16.89,82.59,16.838600314808087,0.0030524915510175
2023-03-22,1389.3,16.6,82.66,16.807403822888944,-0.01234002735190376
2023-03-23,1374.6,16.94,82.07,16.749116607773853,0.011396624472573835
2023-03-24,1380.7,16.8,82.34,16.768277872237064,0.0018917940175273706
2023-03-27,1389.0,17.02,82.24,16.88959143968872,0.00772123830093574
2023-03-28,1377.6,16.77,82.17,16.765242789339172,0.0002837543554008448
2023-03-29,1383.6,16.96,82.18,16.83621319055731,0.007352413992483653
2023-03-31,1428.0,17.44,82.19,17.37437644482297,0.003777030812325055
2023-04-03,1410.9,17.42,82.24,17.155885214007785,0.015394996101778968
2023-04-05,1423.6,17.33,81.89,17.38429600683844,-0.003123279010958102
2023-04-06,1421.9,17.25,81.86,17.3698998289763,-0.006902735776074254
2023-04-10,1427.6,17.39,82.01,17.407633215461527,-0.0010129588119919264
2023-04-11,1406.2,17.45,82.04,17.140419307654803,0.018061442184611032
2023-04-12,1428.3,17.07,81.98,17.422542083434983,-0.02023482461667714
2023-04-13,1389.2,15.4,81.65,17.014084507042252,-0.09486754966887412
2023-04-17,1258.3,15.19,81.98,15.348865576969992,-0.010350313915600373
2023-04-18,1259.4,14.96,82.08,15.34356725146199,-0.02499857074797518
2023-04-19,1232.2,14.82,82.18,14.993915794597225,-0.011599091056646582
2023-04-20,1223.4,14.85,82.1,14.901339829476251,-0.003445316331535331
2023-04-21,1227.4,14.87,82.06,14.957348281745066,-0.005839824018250117
2023-04-24,1226.3,14.82,81.9,14.973137973137971,-0.010227513658974008
2023-04-25,1224.9,14.79,81.92,14.952392578125,-0.010860641685035533
2023-04-26,1227.5,14.85,81.74,15.017127477367263,-0.011129124236252563
2023-04-27,1246.3,15.31,81.84,15.228494623655912,0.00535216240070624
2023-04-28,1252.8,15.54,81.84,15.307917888563049,0.0151609195402298
2023-05-02,1277.5,15.54,81.89,15.600195384051776,-0.003858630136986285
