date,capital,peak,drawdown
2022-12-20,103680.84342142844,103680.84342142844,0.0
2022-12-21,104003.23490851546,104003.23490851546,0.0
2022-12-22,104003.23490851546,104003.23490851546,0.0
2022-12-23,104003.23490851546,104003.23490851546,0.0
2022-12-27,104003.23490851546,104003.23490851546,0.0
2022-12-28,104003.23490851546,104003.23490851546,0.0
2022-12-29,104003.23490851546,104003.23490851546,0.0
2022-12-30,104003.23490851546,104003.23490851546,0.0
2023-01-03,104003.23490851546,104003.23490851546,0.0
2023-01-04,104003.23490851546,104003.23490851546,0.0
2023-01-05,104003.23490851546,104003.23490851546,0.0
2023-01-06,104003.23490851546,104003.23490851546,0.0
2023-01-09,104003.23490851546,104003.23490851546,0.0
2023-01-10,104003.23490851546,104003.23490851546,0.0
2023-01-11,104003.23490851546,104003.23490851546,0.0
2023-01-12,104003.23490851546,104003.23490851546,0.0
2023-01-13,104003.23490851546,104003.23490851546,0.0
2023-01-17,104003.23490851546,104003.23490851546,0.0
2023-01-18,104003.23490851546,104003.23490851546,0.0
2023-01-19,104003.23490851546,104003.23490851546,0.0
2023-01-20,104003.23490851546,104003.23490851546,0.0
2023-01-23,104003.23490851546,104003.23490851546,0.0
2023-01-24,104003.23490851546,104003.23490851546,0.0
2023-01-25,104003.23490851546,104003.23490851546,0.0
2023-01-27,104003.23490851546,104003.23490851546,0.0
2023-01-30,104003.23490851546,104003.23490851546,0.0
2023-01-31,104003.23490851546,104003.23490851546,0.0
2023-02-01,104003.23490851546,104003.23490851546,0.0
2023-02-02,104003.23490851546,104003.23490851546,0.0
2023-02-03,104003.23490851546,104003.23490851546,0.0
2023-02-06,104003.23490851546,104003.23490851546,0.0
2023-02-07,104003.23490851546,104003.23490851546,0.0
2023-02-08,104003.23490851546,104003.23490851546,0.0
2023-02-09,104003.23490851546,104003.23490851546,0.0
2023-02-10,104003.23490851546,104003.23490851546,0.0
2023-02-13,104003.23490851546,104003.23490851546,0.0
2023-02-14,104003.23490851546,104003.23490851546,0.0
2023-02-15,104003.23490851546,104003.23490851546,0.0
2023-02-16,104003.23490851546,104003.23490851546,0.0
2023-02-17,104003.23490851546,104003.23490851546,0.0
2023-02-21,104003.23490851546,104003.23490851546,0.0
2023-02-22,104003.23490851546,104003.23490851546,0.0
2023-02-23,104003.23490851546,104003.23490851546,0.0
2023-02-24,104003.23490851546,104003.23490851546,0.0
2023-02-27,104003.23490851546,104003.23490851546,0.0
2023-02-28,104003.23490851546,104003.23490851546,0.0
2023-03-01,104003.23490851546,104003.23490851546,0.0
2023-03-02,104003.23490851546,104003.23490851546,0.0
2023-03-03,104003.23490851546,104003.23490851546,0.0
2023-03-06,104003.23490851546,104003.23490851546,0.0
2023-03-08,104003.23490851546,104003.23490851546,0.0
2023-03-09,104003.23490851546,104003.23490851546,0.0
2023-03-10,104003.23490851546,104003.23490851546,0.0
2023-03-13,104003.23490851546,104003.23490851546,0.0
2023-03-14,104003.23490851546,104003.23490851546,0.0
2023-03-15,104003.23490851546,104003.23490851546,0.0
2023-03-16,104003.23490851546,104003.23490851546,0.0
2023-03-17,104003.23490851546,104003.23490851546,0.0
2023-03-20,104003.23490851546,104003.23490851546,0.0
2023-03-21,104003.23490851546,104003.23490851546,0.0
2023-03-22,104003.23490851546,104003.23490851546,0.0
2023-03-23,104003.23490851546,104003.23490851546,0.0
2023-03-24,104003.23490851546,104003.23490851546,0.0
2023-03-27,104003.23490851546,104003.23490851546,0.0
2023-03-28,104003.23490851546,104003.23490851546,0.0
2023-03-29,104003.23490851546,104003.23490851546,0.0
2023-03-31,104003.23490851546,104003.23490851546,0.0
2023-04-03,104003.23490851546,104003.23490851546,0.0
2023-04-05,104003.23490851546,104003.23490851546,0.0
2023-04-06,104003.23490851546,104003.23490851546,0.0
2023-04-10,104003.23490851546,104003.23490851546,0.0
2023-04-11,104003.23490851546,104003.23490851546,0.0
2023-04-12,104003.23490851546,104003.23490851546,0.0
2023-04-13,104003.23490851546,104003.23490851546,0.0
2023-04-17,104003.23490851546,104003.23490851546,0.0
2023-04-18,104003.23490851546,104003.23490851546,0.0
2023-04-19,104003.23490851546,104003.23490851546,0.0
2023-04-20,104902.05409202563,104902.05409202563,0.0
2023-04-21,104902.05409202563,104902.05409202563,0.0
2023-04-24,104902.05409202563,104902.05409202563,0.0
2023-04-25,104902.05409202563,104902.05409202563,0.0
2023-04-26,104902.05409202563,104902.05409202563,0.0
2023-04-27,104902.05409202563,104902.05409202563,0.0
2023-04-28,104902.05409202563,104902.05409202563,0.0
2023-05-02,104902.05409202563,104902.05409202563,0.0
2023-05-03,104902.05409202563,104902.05409202563,0.0
2023-05-04,104902.05409202563,104902.05409202563,0.0
2023-05-05,104902.05409202563,104902.05409202563,0.0
2023-05-08,104902.05409202563,104902.05409202563,0.0
2023-05-09,104902.05409202563,104902.05409202563,0.0
2023-05-10,104902.05409202563,104902.05409202563,0.0
2023-05-11,104902.05409202563,104902.05409202563,0.0
2023-05-12,104902.05409202563,104902.05409202563,0.0
2023-05-15,104902.05409202563,104902.05409202563,0.0
2023-05-16,104902.05409202563,104902.05409202563,0.0
2023-05-17,104902.05409202563,104902.05409202563,0.0
2023-05-18,104902.05409202563,104902.05409202563,0.0
2023-05-19,104902.05409202563,104902.05409202563,0.0
2023-05-22,104902.05409202563,104902.05409202563,0.0
2023-05-23,104902.05409202563,104902.05409202563,0.0
2023-05-24,104902.05409202563,104902.05409202563,0.0
2023-05-25,104902.05409202563,104902.05409202563,0.0
2023-05-26,104902.05409202563,104902.05409202563,0.0
2023-05-30,104902.05409202563,104902.05409202563,0.0
2023-05-31,104902.05409202563,104902.05409202563,0.0
2023-06-01,104902.05409202563,104902.05409202563,0.0
2023-06-02,104902.05409202563,104902.05409202563,0.0
2023-06-05,104902.05409202563,104902.05409202563,0.0
2023-06-06,104902.05409202563,104902.05409202563,0.0
2023-06-07,104902.05409202563,104902.05409202563,0.0
2023-06-08,104902.05409202563,104902.05409202563,0.0
2023-06-09,104902.05409202563,104902.05409202563,0.0
2023-06-12,104902.05409202563,104902.05409202563,0.0
2023-06-13,104902.05409202563,104902.05409202563,0.0
2023-06-14,104902.05409202563,104902.05409202563,0.0
2023-06-15,104902.05409202563,104902.05409202563,0.0
2023-06-16,104902.05409202563,104902.05409202563,0.0
2023-06-20,104902.05409202563,104902.05409202563,0.0
2023-06-21,104902.05409202563,104902.05409202563,0.0
2023-06-22,104902.05409202563,104902.05409202563,0.0
2023-06-23,104902.05409202563,104902.05409202563,0.0
2023-06-26,104902.05409202563,104902.05409202563,0.0
2023-06-27,104902.05409202563,104902.05409202563,0.0
2023-06-28,104902.05409202563,104902.05409202563,0.0
2023-06-30,104902.05409202563,104902.05409202563,0.0
2023-07-03,104902.05409202563,104902.05409202563,0.0
2023-07-05,104902.05409202563,104902.05409202563,0.0
2023-07-06,104902.05409202563,104902.05409202563,0.0
2023-07-07,104902.05409202563,104902.05409202563,0.0
2023-07-10,104902.05409202563,104902.05409202563,0.0
